Date,Year,Month,Day,Quarter,Start of Quarter,Start of Month,Start of Week,Day Name,Season,Is_Weekend
3/26/2020,2020,3,26,1,1/1/2020,3/1/2020,3/22/2020,Thursday,Spring,0
3/27/2020,2020,3,27,1,1/1/2020,3/1/2020,3/22/2020,Friday,Spring,0
3/28/2020,2020,3,28,1,1/1/2020,3/1/2020,3/22/2020,Saturday,Spring,1
3/29/2020,2020,3,29,1,1/1/2020,3/1/2020,3/29/2020,Sunday,Spring,1
3/30/2020,2020,3,30,1,1/1/2020,3/1/2020,3/29/2020,Monday,Spring,0
3/31/2020,2020,3,31,1,1/1/2020,3/1/2020,3/29/2020,Tuesday,Spring,0
4/1/2020,2020,4,1,1,4/1/2020,4/1/2020,3/29/2020,Wednesday,Spring,0
4/2/2020,2020,4,2,1,4/1/2020,4/1/2020,3/29/2020,Thursday,Spring,0
4/3/2020,2020,4,3,1,4/1/2020,4/1/2020,3/29/2020,Friday,Spring,0
4/4/2020,2020,4,4,1,4/1/2020,4/1/2020,3/29/2020,Saturday,Spring,1
4/5/2020,2020,4,5,2,4/1/2020,4/1/2020,4/5/2020,Sunday,Spring,1
4/6/2020,2020,4,6,2,4/1/2020,4/1/2020,4/5/2020,Monday,Spring,0
4/7/2020,2020,4,7,2,4/1/2020,4/1/2020,4/5/2020,Tuesday,Spring,0
4/8/2020,2020,4,8,2,4/1/2020,4/1/2020,4/5/2020,Wednesday,Spring,0
4/9/2020,2020,4,9,2,4/1/2020,4/1/2020,4/5/2020,Thursday,Spring,0
4/10/2020,2020,4,10,2,4/1/2020,4/1/2020,4/5/2020,Friday,Spring,0
4/11/2020,2020,4,11,2,4/1/2020,4/1/2020,4/5/2020,Saturday,Spring,1
4/12/2020,2020,4,12,2,4/1/2020,4/1/2020,4/12/2020,Sunday,Spring,1
4/13/2020,2020,4,13,2,4/1/2020,4/1/2020,4/12/2020,Monday,Spring,0
4/14/2020,2020,4,14,2,4/1/2020,4/1/2020,4/12/2020,Tuesday,Spring,0
4/15/2020,2020,4,15,2,4/1/2020,4/1/2020,4/12/2020,Wednesday,Spring,0
4/16/2020,2020,4,16,2,4/1/2020,4/1/2020,4/12/2020,Thursday,Spring,0
4/17/2020,2020,4,17,2,4/1/2020,4/1/2020,4/12/2020,Friday,Spring,0
4/18/2020,2020,4,18,2,4/1/2020,4/1/2020,4/12/2020,Saturday,Spring,1
4/19/2020,2020,4,19,2,4/1/2020,4/1/2020,4/19/2020,Sunday,Spring,1
4/20/2020,2020,4,20,2,4/1/2020,4/1/2020,4/19/2020,Monday,Spring,0
4/21/2020,2020,4,21,2,4/1/2020,4/1/2020,4/19/2020,Tuesday,Spring,0
4/22/2020,2020,4,22,2,4/1/2020,4/1/2020,4/19/2020,Wednesday,Spring,0
4/23/2020,2020,4,23,2,4/1/2020,4/1/2020,4/19/2020,Thursday,Spring,0
4/24/2020,2020,4,24,2,4/1/2020,4/1/2020,4/19/2020,Friday,Spring,0
4/25/2020,2020,4,25,2,4/1/2020,4/1/2020,4/19/2020,Saturday,Spring,1
4/26/2020,2020,4,26,2,4/1/2020,4/1/2020,4/26/2020,Sunday,Spring,1
4/27/2020,2020,4,27,2,4/1/2020,4/1/2020,4/26/2020,Monday,Spring,0
4/28/2020,2020,4,28,2,4/1/2020,4/1/2020,4/26/2020,Tuesday,Spring,0
4/29/2020,2020,4,29,2,4/1/2020,4/1/2020,4/26/2020,Wednesday,Spring,0
4/30/2020,2020,4,30,2,4/1/2020,4/1/2020,4/26/2020,Thursday,Spring,0
5/1/2020,2020,5,1,2,4/1/2020,5/1/2020,4/26/2020,Friday,Spring,0
5/2/2020,2020,5,2,2,4/1/2020,5/1/2020,4/26/2020,Saturday,Spring,1
5/3/2020,2020,5,3,2,4/1/2020,5/1/2020,5/3/2020,Sunday,Spring,1
5/4/2020,2020,5,4,2,4/1/2020,5/1/2020,5/3/2020,Monday,Spring,0
5/5/2020,2020,5,5,2,4/1/2020,5/1/2020,5/3/2020,Tuesday,Spring,0
5/6/2020,2020,5,6,2,4/1/2020,5/1/2020,5/3/2020,Wednesday,Spring,0
5/7/2020,2020,5,7,2,4/1/2020,5/1/2020,5/3/2020,Thursday,Spring,0
5/8/2020,2020,5,8,2,4/1/2020,5/1/2020,5/3/2020,Friday,Spring,0
5/9/2020,2020,5,9,2,4/1/2020,5/1/2020,5/3/2020,Saturday,Spring,1
5/10/2020,2020,5,10,2,4/1/2020,5/1/2020,5/10/2020,Sunday,Spring,1
5/11/2020,2020,5,11,2,4/1/2020,5/1/2020,5/10/2020,Monday,Spring,0
5/12/2020,2020,5,12,2,4/1/2020,5/1/2020,5/10/2020,Tuesday,Spring,0
5/13/2020,2020,5,13,2,4/1/2020,5/1/2020,5/10/2020,Wednesday,Spring,0
5/14/2020,2020,5,14,2,4/1/2020,5/1/2020,5/10/2020,Thursday,Spring,0
5/15/2020,2020,5,15,2,4/1/2020,5/1/2020,5/10/2020,Friday,Spring,0
5/16/2020,2020,5,16,2,4/1/2020,5/1/2020,5/10/2020,Saturday,Spring,1
5/17/2020,2020,5,17,2,4/1/2020,5/1/2020,5/17/2020,Sunday,Spring,1
5/18/2020,2020,5,18,2,4/1/2020,5/1/2020,5/17/2020,Monday,Spring,0
5/19/2020,2020,5,19,2,4/1/2020,5/1/2020,5/17/2020,Tuesday,Spring,0
5/20/2020,2020,5,20,2,4/1/2020,5/1/2020,5/17/2020,Wednesday,Spring,0
5/21/2020,2020,5,21,2,4/1/2020,5/1/2020,5/17/2020,Thursday,Spring,0
5/22/2020,2020,5,22,2,4/1/2020,5/1/2020,5/17/2020,Friday,Spring,0
5/23/2020,2020,5,23,2,4/1/2020,5/1/2020,5/17/2020,Saturday,Spring,1
5/24/2020,2020,5,24,2,4/1/2020,5/1/2020,5/24/2020,Sunday,Spring,1
5/25/2020,2020,5,25,2,4/1/2020,5/1/2020,5/24/2020,Monday,Spring,0
5/26/2020,2020,5,26,2,4/1/2020,5/1/2020,5/24/2020,Tuesday,Spring,0
5/27/2020,2020,5,27,2,4/1/2020,5/1/2020,5/24/2020,Wednesday,Spring,0
5/28/2020,2020,5,28,2,4/1/2020,5/1/2020,5/24/2020,Thursday,Spring,0
5/29/2020,2020,5,29,2,4/1/2020,5/1/2020,5/24/2020,Friday,Spring,0
5/30/2020,2020,5,30,2,4/1/2020,5/1/2020,5/24/2020,Saturday,Spring,1
5/31/2020,2020,5,31,2,4/1/2020,5/1/2020,5/31/2020,Sunday,Spring,1
6/1/2020,2020,6,1,2,4/1/2020,6/1/2020,5/31/2020,Monday,Summer,0
6/2/2020,2020,6,2,2,4/1/2020,6/1/2020,5/31/2020,Tuesday,Summer,0
6/3/2020,2020,6,3,2,4/1/2020,6/1/2020,5/31/2020,Wednesday,Summer,0
6/4/2020,2020,6,4,2,4/1/2020,6/1/2020,5/31/2020,Thursday,Summer,0
6/5/2020,2020,6,5,2,4/1/2020,6/1/2020,5/31/2020,Friday,Summer,0
6/6/2020,2020,6,6,2,4/1/2020,6/1/2020,5/31/2020,Saturday,Summer,1
6/7/2020,2020,6,7,2,4/1/2020,6/1/2020,6/7/2020,Sunday,Summer,1
6/8/2020,2020,6,8,2,4/1/2020,6/1/2020,6/7/2020,Monday,Summer,0
6/9/2020,2020,6,9,2,4/1/2020,6/1/2020,6/7/2020,Tuesday,Summer,0
6/10/2020,2020,6,10,2,4/1/2020,6/1/2020,6/7/2020,Wednesday,Summer,0
6/11/2020,2020,6,11,2,4/1/2020,6/1/2020,6/7/2020,Thursday,Summer,0
6/12/2020,2020,6,12,2,4/1/2020,6/1/2020,6/7/2020,Friday,Summer,0
6/13/2020,2020,6,13,2,4/1/2020,6/1/2020,6/7/2020,Saturday,Summer,1
6/14/2020,2020,6,14,2,4/1/2020,6/1/2020,6/14/2020,Sunday,Summer,1
6/15/2020,2020,6,15,2,4/1/2020,6/1/2020,6/14/2020,Monday,Summer,0
6/16/2020,2020,6,16,2,4/1/2020,6/1/2020,6/14/2020,Tuesday,Summer,0
6/17/2020,2020,6,17,2,4/1/2020,6/1/2020,6/14/2020,Wednesday,Summer,0
6/18/2020,2020,6,18,2,4/1/2020,6/1/2020,6/14/2020,Thursday,Summer,0
6/19/2020,2020,6,19,2,4/1/2020,6/1/2020,6/14/2020,Friday,Summer,0
6/20/2020,2020,6,20,2,4/1/2020,6/1/2020,6/14/2020,Saturday,Summer,1
6/21/2020,2020,6,21,2,4/1/2020,6/1/2020,6/21/2020,Sunday,Summer,1
6/22/2020,2020,6,22,2,4/1/2020,6/1/2020,6/21/2020,Monday,Summer,0
6/23/2020,2020,6,23,2,4/1/2020,6/1/2020,6/21/2020,Tuesday,Summer,0
6/24/2020,2020,6,24,2,4/1/2020,6/1/2020,6/21/2020,Wednesday,Summer,0
6/25/2020,2020,6,25,2,4/1/2020,6/1/2020,6/21/2020,Thursday,Summer,0
6/26/2020,2020,6,26,2,4/1/2020,6/1/2020,6/21/2020,Friday,Summer,0
6/27/2020,2020,6,27,2,4/1/2020,6/1/2020,6/21/2020,Saturday,Summer,1
6/28/2020,2020,6,28,2,4/1/2020,6/1/2020,6/28/2020,Sunday,Summer,1
6/29/2020,2020,6,29,2,4/1/2020,6/1/2020,6/28/2020,Monday,Summer,0
6/30/2020,2020,6,30,2,4/1/2020,6/1/2020,6/28/2020,Tuesday,Summer,0
7/1/2020,2020,7,1,2,7/1/2020,7/1/2020,6/28/2020,Wednesday,Summer,0
7/2/2020,2020,7,2,2,7/1/2020,7/1/2020,6/28/2020,Thursday,Summer,0
7/3/2020,2020,7,3,2,7/1/2020,7/1/2020,6/28/2020,Friday,Summer,0
7/4/2020,2020,7,4,2,7/1/2020,7/1/2020,6/28/2020,Saturday,Summer,1
7/5/2020,2020,7,5,3,7/1/2020,7/1/2020,7/5/2020,Sunday,Summer,1
7/6/2020,2020,7,6,3,7/1/2020,7/1/2020,7/5/2020,Monday,Summer,0
7/7/2020,2020,7,7,3,7/1/2020,7/1/2020,7/5/2020,Tuesday,Summer,0
7/8/2020,2020,7,8,3,7/1/2020,7/1/2020,7/5/2020,Wednesday,Summer,0
7/9/2020,2020,7,9,3,7/1/2020,7/1/2020,7/5/2020,Thursday,Summer,0
7/10/2020,2020,7,10,3,7/1/2020,7/1/2020,7/5/2020,Friday,Summer,0
7/11/2020,2020,7,11,3,7/1/2020,7/1/2020,7/5/2020,Saturday,Summer,1
7/12/2020,2020,7,12,3,7/1/2020,7/1/2020,7/12/2020,Sunday,Summer,1
7/13/2020,2020,7,13,3,7/1/2020,7/1/2020,7/12/2020,Monday,Summer,0
7/14/2020,2020,7,14,3,7/1/2020,7/1/2020,7/12/2020,Tuesday,Summer,0
7/15/2020,2020,7,15,3,7/1/2020,7/1/2020,7/12/2020,Wednesday,Summer,0
7/16/2020,2020,7,16,3,7/1/2020,7/1/2020,7/12/2020,Thursday,Summer,0
7/17/2020,2020,7,17,3,7/1/2020,7/1/2020,7/12/2020,Friday,Summer,0
7/18/2020,2020,7,18,3,7/1/2020,7/1/2020,7/12/2020,Saturday,Summer,1
7/19/2020,2020,7,19,3,7/1/2020,7/1/2020,7/19/2020,Sunday,Summer,1
7/20/2020,2020,7,20,3,7/1/2020,7/1/2020,7/19/2020,Monday,Summer,0
7/21/2020,2020,7,21,3,7/1/2020,7/1/2020,7/19/2020,Tuesday,Summer,0
7/22/2020,2020,7,22,3,7/1/2020,7/1/2020,7/19/2020,Wednesday,Summer,0
7/23/2020,2020,7,23,3,7/1/2020,7/1/2020,7/19/2020,Thursday,Summer,0
7/24/2020,2020,7,24,3,7/1/2020,7/1/2020,7/19/2020,Friday,Summer,0
7/25/2020,2020,7,25,3,7/1/2020,7/1/2020,7/19/2020,Saturday,Summer,1
7/26/2020,2020,7,26,3,7/1/2020,7/1/2020,7/26/2020,Sunday,Summer,1
7/27/2020,2020,7,27,3,7/1/2020,7/1/2020,7/26/2020,Monday,Summer,0
7/28/2020,2020,7,28,3,7/1/2020,7/1/2020,7/26/2020,Tuesday,Summer,0
7/29/2020,2020,7,29,3,7/1/2020,7/1/2020,7/26/2020,Wednesday,Summer,0
7/30/2020,2020,7,30,3,7/1/2020,7/1/2020,7/26/2020,Thursday,Summer,0
7/31/2020,2020,7,31,3,7/1/2020,7/1/2020,7/26/2020,Friday,Summer,0
8/1/2020,2020,8,1,3,7/1/2020,8/1/2020,7/26/2020,Saturday,Summer,1
8/2/2020,2020,8,2,3,7/1/2020,8/1/2020,8/2/2020,Sunday,Summer,1
8/3/2020,2020,8,3,3,7/1/2020,8/1/2020,8/2/2020,Monday,Summer,0
8/4/2020,2020,8,4,3,7/1/2020,8/1/2020,8/2/2020,Tuesday,Summer,0
8/5/2020,2020,8,5,3,7/1/2020,8/1/2020,8/2/2020,Wednesday,Summer,0
8/6/2020,2020,8,6,3,7/1/2020,8/1/2020,8/2/2020,Thursday,Summer,0
8/7/2020,2020,8,7,3,7/1/2020,8/1/2020,8/2/2020,Friday,Summer,0
8/8/2020,2020,8,8,3,7/1/2020,8/1/2020,8/2/2020,Saturday,Summer,1
8/9/2020,2020,8,9,3,7/1/2020,8/1/2020,8/9/2020,Sunday,Summer,1
8/10/2020,2020,8,10,3,7/1/2020,8/1/2020,8/9/2020,Monday,Summer,0
8/11/2020,2020,8,11,3,7/1/2020,8/1/2020,8/9/2020,Tuesday,Summer,0
8/12/2020,2020,8,12,3,7/1/2020,8/1/2020,8/9/2020,Wednesday,Summer,0
8/13/2020,2020,8,13,3,7/1/2020,8/1/2020,8/9/2020,Thursday,Summer,0
8/14/2020,2020,8,14,3,7/1/2020,8/1/2020,8/9/2020,Friday,Summer,0
8/15/2020,2020,8,15,3,7/1/2020,8/1/2020,8/9/2020,Saturday,Summer,1
8/16/2020,2020,8,16,3,7/1/2020,8/1/2020,8/16/2020,Sunday,Summer,1
8/17/2020,2020,8,17,3,7/1/2020,8/1/2020,8/16/2020,Monday,Summer,0
8/18/2020,2020,8,18,3,7/1/2020,8/1/2020,8/16/2020,Tuesday,Summer,0
8/19/2020,2020,8,19,3,7/1/2020,8/1/2020,8/16/2020,Wednesday,Summer,0
8/20/2020,2020,8,20,3,7/1/2020,8/1/2020,8/16/2020,Thursday,Summer,0
8/21/2020,2020,8,21,3,7/1/2020,8/1/2020,8/16/2020,Friday,Summer,0
8/22/2020,2020,8,22,3,7/1/2020,8/1/2020,8/16/2020,Saturday,Summer,1
8/23/2020,2020,8,23,3,7/1/2020,8/1/2020,8/23/2020,Sunday,Summer,1
8/24/2020,2020,8,24,3,7/1/2020,8/1/2020,8/23/2020,Monday,Summer,0
8/25/2020,2020,8,25,3,7/1/2020,8/1/2020,8/23/2020,Tuesday,Summer,0
8/26/2020,2020,8,26,3,7/1/2020,8/1/2020,8/23/2020,Wednesday,Summer,0
8/27/2020,2020,8,27,3,7/1/2020,8/1/2020,8/23/2020,Thursday,Summer,0
8/28/2020,2020,8,28,3,7/1/2020,8/1/2020,8/23/2020,Friday,Summer,0
8/29/2020,2020,8,29,3,7/1/2020,8/1/2020,8/23/2020,Saturday,Summer,1
8/30/2020,2020,8,30,3,7/1/2020,8/1/2020,8/30/2020,Sunday,Summer,1
8/31/2020,2020,8,31,3,7/1/2020,8/1/2020,8/30/2020,Monday,Summer,0
9/1/2020,2020,9,1,3,7/1/2020,9/1/2020,8/30/2020,Tuesday,Fall,0
9/2/2020,2020,9,2,3,7/1/2020,9/1/2020,8/30/2020,Wednesday,Fall,0
9/3/2020,2020,9,3,3,7/1/2020,9/1/2020,8/30/2020,Thursday,Fall,0
9/4/2020,2020,9,4,3,7/1/2020,9/1/2020,8/30/2020,Friday,Fall,0
9/5/2020,2020,9,5,3,7/1/2020,9/1/2020,8/30/2020,Saturday,Fall,1
9/6/2020,2020,9,6,3,7/1/2020,9/1/2020,9/6/2020,Sunday,Fall,1
9/7/2020,2020,9,7,3,7/1/2020,9/1/2020,9/6/2020,Monday,Fall,0
9/8/2020,2020,9,8,3,7/1/2020,9/1/2020,9/6/2020,Tuesday,Fall,0
9/9/2020,2020,9,9,3,7/1/2020,9/1/2020,9/6/2020,Wednesday,Fall,0
9/10/2020,2020,9,10,3,7/1/2020,9/1/2020,9/6/2020,Thursday,Fall,0
9/11/2020,2020,9,11,3,7/1/2020,9/1/2020,9/6/2020,Friday,Fall,0
9/12/2020,2020,9,12,3,7/1/2020,9/1/2020,9/6/2020,Saturday,Fall,1
9/13/2020,2020,9,13,3,7/1/2020,9/1/2020,9/13/2020,Sunday,Fall,1
9/14/2020,2020,9,14,3,7/1/2020,9/1/2020,9/13/2020,Monday,Fall,0
9/15/2020,2020,9,15,3,7/1/2020,9/1/2020,9/13/2020,Tuesday,Fall,0
9/16/2020,2020,9,16,3,7/1/2020,9/1/2020,9/13/2020,Wednesday,Fall,0
9/17/2020,2020,9,17,3,7/1/2020,9/1/2020,9/13/2020,Thursday,Fall,0
9/18/2020,2020,9,18,3,7/1/2020,9/1/2020,9/13/2020,Friday,Fall,0
9/19/2020,2020,9,19,3,7/1/2020,9/1/2020,9/13/2020,Saturday,Fall,1
9/20/2020,2020,9,20,3,7/1/2020,9/1/2020,9/20/2020,Sunday,Fall,1
9/21/2020,2020,9,21,3,7/1/2020,9/1/2020,9/20/2020,Monday,Fall,0
9/22/2020,2020,9,22,3,7/1/2020,9/1/2020,9/20/2020,Tuesday,Fall,0
9/23/2020,2020,9,23,3,7/1/2020,9/1/2020,9/20/2020,Wednesday,Fall,0
9/24/2020,2020,9,24,3,7/1/2020,9/1/2020,9/20/2020,Thursday,Fall,0
9/25/2020,2020,9,25,3,7/1/2020,9/1/2020,9/20/2020,Friday,Fall,0
9/26/2020,2020,9,26,3,7/1/2020,9/1/2020,9/20/2020,Saturday,Fall,1
9/27/2020,2020,9,27,3,7/1/2020,9/1/2020,9/27/2020,Sunday,Fall,1
9/28/2020,2020,9,28,3,7/1/2020,9/1/2020,9/27/2020,Monday,Fall,0
9/29/2020,2020,9,29,3,7/1/2020,9/1/2020,9/27/2020,Tuesday,Fall,0
9/30/2020,2020,9,30,3,7/1/2020,9/1/2020,9/27/2020,Wednesday,Fall,0
10/1/2020,2020,10,1,3,10/1/2020,10/1/2020,9/27/2020,Thursday,Fall,0
10/2/2020,2020,10,2,3,10/1/2020,10/1/2020,9/27/2020,Friday,Fall,0
10/3/2020,2020,10,3,3,10/1/2020,10/1/2020,9/27/2020,Saturday,Fall,1
10/4/2020,2020,10,4,4,10/1/2020,10/1/2020,10/4/2020,Sunday,Fall,1
10/5/2020,2020,10,5,4,10/1/2020,10/1/2020,10/4/2020,Monday,Fall,0
10/6/2020,2020,10,6,4,10/1/2020,10/1/2020,10/4/2020,Tuesday,Fall,0
10/7/2020,2020,10,7,4,10/1/2020,10/1/2020,10/4/2020,Wednesday,Fall,0
10/8/2020,2020,10,8,4,10/1/2020,10/1/2020,10/4/2020,Thursday,Fall,0
10/9/2020,2020,10,9,4,10/1/2020,10/1/2020,10/4/2020,Friday,Fall,0
10/10/2020,2020,10,10,4,10/1/2020,10/1/2020,10/4/2020,Saturday,Fall,1
10/11/2020,2020,10,11,4,10/1/2020,10/1/2020,10/11/2020,Sunday,Fall,1
10/12/2020,2020,10,12,4,10/1/2020,10/1/2020,10/11/2020,Monday,Fall,0
10/13/2020,2020,10,13,4,10/1/2020,10/1/2020,10/11/2020,Tuesday,Fall,0
10/14/2020,2020,10,14,4,10/1/2020,10/1/2020,10/11/2020,Wednesday,Fall,0
10/15/2020,2020,10,15,4,10/1/2020,10/1/2020,10/11/2020,Thursday,Fall,0
10/16/2020,2020,10,16,4,10/1/2020,10/1/2020,10/11/2020,Friday,Fall,0
10/17/2020,2020,10,17,4,10/1/2020,10/1/2020,10/11/2020,Saturday,Fall,1
10/18/2020,2020,10,18,4,10/1/2020,10/1/2020,10/18/2020,Sunday,Fall,1
10/19/2020,2020,10,19,4,10/1/2020,10/1/2020,10/18/2020,Monday,Fall,0
10/20/2020,2020,10,20,4,10/1/2020,10/1/2020,10/18/2020,Tuesday,Fall,0
10/21/2020,2020,10,21,4,10/1/2020,10/1/2020,10/18/2020,Wednesday,Fall,0
10/22/2020,2020,10,22,4,10/1/2020,10/1/2020,10/18/2020,Thursday,Fall,0
10/23/2020,2020,10,23,4,10/1/2020,10/1/2020,10/18/2020,Friday,Fall,0
10/24/2020,2020,10,24,4,10/1/2020,10/1/2020,10/18/2020,Saturday,Fall,1
10/25/2020,2020,10,25,4,10/1/2020,10/1/2020,10/25/2020,Sunday,Fall,1
10/26/2020,2020,10,26,4,10/1/2020,10/1/2020,10/25/2020,Monday,Fall,0
10/27/2020,2020,10,27,4,10/1/2020,10/1/2020,10/25/2020,Tuesday,Fall,0
10/28/2020,2020,10,28,4,10/1/2020,10/1/2020,10/25/2020,Wednesday,Fall,0
10/29/2020,2020,10,29,4,10/1/2020,10/1/2020,10/25/2020,Thursday,Fall,0
10/30/2020,2020,10,30,4,10/1/2020,10/1/2020,10/25/2020,Friday,Fall,0
10/31/2020,2020,10,31,4,10/1/2020,10/1/2020,10/25/2020,Saturday,Fall,1
11/1/2020,2020,11,1,4,10/1/2020,11/1/2020,11/1/2020,Sunday,Fall,1
11/2/2020,2020,11,2,4,10/1/2020,11/1/2020,11/1/2020,Monday,Fall,0
11/3/2020,2020,11,3,4,10/1/2020,11/1/2020,11/1/2020,Tuesday,Fall,0
11/4/2020,2020,11,4,4,10/1/2020,11/1/2020,11/1/2020,Wednesday,Fall,0
11/5/2020,2020,11,5,4,10/1/2020,11/1/2020,11/1/2020,Thursday,Fall,0
11/6/2020,2020,11,6,4,10/1/2020,11/1/2020,11/1/2020,Friday,Fall,0
11/7/2020,2020,11,7,4,10/1/2020,11/1/2020,11/1/2020,Saturday,Fall,1
11/8/2020,2020,11,8,4,10/1/2020,11/1/2020,11/8/2020,Sunday,Fall,1
11/9/2020,2020,11,9,4,10/1/2020,11/1/2020,11/8/2020,Monday,Fall,0
11/10/2020,2020,11,10,4,10/1/2020,11/1/2020,11/8/2020,Tuesday,Fall,0
11/11/2020,2020,11,11,4,10/1/2020,11/1/2020,11/8/2020,Wednesday,Fall,0
11/12/2020,2020,11,12,4,10/1/2020,11/1/2020,11/8/2020,Thursday,Fall,0
11/13/2020,2020,11,13,4,10/1/2020,11/1/2020,11/8/2020,Friday,Fall,0
11/14/2020,2020,11,14,4,10/1/2020,11/1/2020,11/8/2020,Saturday,Fall,1
11/15/2020,2020,11,15,4,10/1/2020,11/1/2020,11/15/2020,Sunday,Fall,1
11/16/2020,2020,11,16,4,10/1/2020,11/1/2020,11/15/2020,Monday,Fall,0
11/17/2020,2020,11,17,4,10/1/2020,11/1/2020,11/15/2020,Tuesday,Fall,0
11/18/2020,2020,11,18,4,10/1/2020,11/1/2020,11/15/2020,Wednesday,Fall,0
11/19/2020,2020,11,19,4,10/1/2020,11/1/2020,11/15/2020,Thursday,Fall,0
11/20/2020,2020,11,20,4,10/1/2020,11/1/2020,11/15/2020,Friday,Fall,0
11/21/2020,2020,11,21,4,10/1/2020,11/1/2020,11/15/2020,Saturday,Fall,1
11/22/2020,2020,11,22,4,10/1/2020,11/1/2020,11/22/2020,Sunday,Fall,1
11/23/2020,2020,11,23,4,10/1/2020,11/1/2020,11/22/2020,Monday,Fall,0
11/24/2020,2020,11,24,4,10/1/2020,11/1/2020,11/22/2020,Tuesday,Fall,0
11/25/2020,2020,11,25,4,10/1/2020,11/1/2020,11/22/2020,Wednesday,Fall,0
11/26/2020,2020,11,26,4,10/1/2020,11/1/2020,11/22/2020,Thursday,Fall,0
11/27/2020,2020,11,27,4,10/1/2020,11/1/2020,11/22/2020,Friday,Fall,0
11/28/2020,2020,11,28,4,10/1/2020,11/1/2020,11/22/2020,Saturday,Fall,1
11/29/2020,2020,11,29,4,10/1/2020,11/1/2020,11/29/2020,Sunday,Fall,1
11/30/2020,2020,11,30,4,10/1/2020,11/1/2020,11/29/2020,Monday,Fall,0
12/1/2020,2020,12,1,4,10/1/2020,12/1/2020,11/29/2020,Tuesday,Winter,0
12/2/2020,2020,12,2,4,10/1/2020,12/1/2020,11/29/2020,Wednesday,Winter,0
12/3/2020,2020,12,3,4,10/1/2020,12/1/2020,11/29/2020,Thursday,Winter,0
12/4/2020,2020,12,4,4,10/1/2020,12/1/2020,11/29/2020,Friday,Winter,0
12/5/2020,2020,12,5,4,10/1/2020,12/1/2020,11/29/2020,Saturday,Winter,1
12/6/2020,2020,12,6,4,10/1/2020,12/1/2020,12/6/2020,Sunday,Winter,1
12/7/2020,2020,12,7,4,10/1/2020,12/1/2020,12/6/2020,Monday,Winter,0
12/8/2020,2020,12,8,4,10/1/2020,12/1/2020,12/6/2020,Tuesday,Winter,0
12/9/2020,2020,12,9,4,10/1/2020,12/1/2020,12/6/2020,Wednesday,Winter,0
12/10/2020,2020,12,10,4,10/1/2020,12/1/2020,12/6/2020,Thursday,Winter,0
12/11/2020,2020,12,11,4,10/1/2020,12/1/2020,12/6/2020,Friday,Winter,0
12/12/2020,2020,12,12,4,10/1/2020,12/1/2020,12/6/2020,Saturday,Winter,1
12/13/2020,2020,12,13,4,10/1/2020,12/1/2020,12/13/2020,Sunday,Winter,1
12/14/2020,2020,12,14,4,10/1/2020,12/1/2020,12/13/2020,Monday,Winter,0
