Date,Mode,Ridership,Pct_PrePandemic
3/31/2020,MetroNorth,137464,0.5
3/31/2020,AccessARide,7672,0.26
3/31/2020,StatenIsland,337626,37
3/31/2020,Bridges_Tunnels,1043,7
4/1/2020,Subways,513481,0.09
4/1/2020,Buses,29373,0.01
4/1/2020,LIRR,10548,0.03
4/1/2020,MetroNorth,9300,0.03
4/1/2020,AccessARide,8151,0.28
4/1/2020,StatenIsland,342221,36
4/1/2020,Bridges_Tunnels,720,4
4/2/2020,Subways,485586,0.09
4/2/2020,Buses,26788,0.01
4/2/2020,LIRR,10057,0.03
4/2/2020,MetroNorth,9492,0.03
4/2/2020,AccessARide,7077,0.24
4/2/2020,StatenIsland,339734,36
4/2/2020,Bridges_Tunnels,882,5
4/3/2020,Subways,483357,0.09
4/3/2020,Buses,24418,0.01
4/3/2020,LIRR,9657,0.03
4/3/2020,MetroNorth,9770,0.03
4/3/2020,AccessARide,7794,0.27
4/3/2020,StatenIsland,340272,36
4/3/2020,Bridges_Tunnels,843,5
4/4/2020,Subways,282278,0.09
4/4/2020,Buses,13168,0.01
4/4/2020,LIRR,3727,0.03
4/4/2020,MetroNorth,4451,0.03
4/4/2020,AccessARide,4375,0.26
4/4/2020,StatenIsland,243323,27
4/4/2020,Bridges_Tunnels,425,8
4/5/2020,Subways,227303,0.09
4/5/2020,Buses,9748,0.01
4/5/2020,LIRR,2969,0.03
4/5/2020,MetroNorth,3601,0.03
4/5/2020,AccessARide,2763,0.15
4/5/2020,StatenIsland,209151,24
4/5/2020,Bridges_Tunnels,300,9
4/6/2020,Subways,445454,0.08
4/6/2020,Buses,22418,0.01
4/6/2020,LIRR,10127,0.03
4/6/2020,MetroNorth,9832,0.03
4/6/2020,AccessARide,7093,0.25
4/6/2020,StatenIsland,335768,36
4/6/2020,Bridges_Tunnels,819,5
4/7/2020,Subways,434986,0.08
4/7/2020,Buses,21623,0.01
4/7/2020,LIRR,9312,0.03
4/7/2020,MetroNorth,9589,0.03
4/7/2020,AccessARide,7041,0.24
4/7/2020,StatenIsland,335469,36
4/7/2020,Bridges_Tunnels,732,5
4/8/2020,Subways,427485,0.08
4/8/2020,Buses,20361,0.01
4/8/2020,LIRR,9039,0.03
4/8/2020,MetroNorth,9292,0.03
4/8/2020,AccessARide,6950,0.24
4/8/2020,StatenIsland,324881,35
4/8/2020,Bridges_Tunnels,721,4
4/9/2020,Subways,404635,0.07
4/9/2020,Buses,18734,0.01
4/9/2020,LIRR,8413,0.03
4/9/2020,MetroNorth,8931,0.03
4/9/2020,AccessARide,6243,0.22
4/9/2020,StatenIsland,303480,32
4/9/2020,Bridges_Tunnels,690,4
4/10/2020,Subways,400275,0.07
4/10/2020,Buses,17135,0.01
4/10/2020,LIRR,8247,0.03
4/10/2020,MetroNorth,9573,0.03
4/10/2020,AccessARide,5378,0.19
4/10/2020,StatenIsland,314099,33
4/10/2020,Bridges_Tunnels,672,4
4/11/2020,Subways,257061,0.08
4/11/2020,Buses,9718,0.01
4/11/2020,LIRR,2749,0.02
4/11/2020,MetroNorth,4179,0.03
4/11/2020,AccessARide,4235,0.25
4/11/2020,StatenIsland,254754,28
4/11/2020,Bridges_Tunnels,406,8
4/12/2020,Subways,198399,0.08
4/12/2020,Buses,7041,0.01
4/12/2020,LIRR,2245,0.02
4/12/2020,MetroNorth,3281,0.03
4/12/2020,AccessARide,2525,0.14
4/12/2020,StatenIsland,217871,25
4/12/2020,Bridges_Tunnels,294,9
4/13/2020,Subways,363312,0.07
4/13/2020,Buses,14408,0.01
4/13/2020,LIRR,8192,0.03
4/13/2020,MetroNorth,8824,0.03
4/13/2020,AccessARide,6205,0.21
4/13/2020,StatenIsland,284608,30
4/13/2020,Bridges_Tunnels,649,4
4/14/2020,Subways,430155,0.08
4/14/2020,Buses,17937,0.01
4/14/2020,LIRR,8816,0.03
4/14/2020,MetroNorth,9592,0.03
4/14/2020,AccessARide,6585,0.23
4/14/2020,StatenIsland,356104,38
4/14/2020,Bridges_Tunnels,791,5
4/15/2020,Subways,419059,0.08
4/15/2020,Buses,16895,0.01
4/15/2020,LIRR,8596,0.03
4/15/2020,MetroNorth,9492,0.03
4/15/2020,AccessARide,6928,0.24
4/15/2020,StatenIsland,340212,36
4/15/2020,Bridges_Tunnels,792,5
4/16/2020,Subways,420223,0.08
4/16/2020,Buses,16632,0.01
4/16/2020,LIRR,8462,0.03
4/16/2020,MetroNorth,9528,0.03
4/16/2020,AccessARide,6563,0.23
4/16/2020,StatenIsland,346341,37
4/16/2020,Bridges_Tunnels,790,5
4/17/2020,Subways,432368,0.08
4/17/2020,Buses,16350,0.01
4/17/2020,LIRR,8271,0.03
4/17/2020,MetroNorth,9989,0.03
4/17/2020,AccessARide,7048,0.24
4/17/2020,StatenIsland,378350,40
4/17/2020,Bridges_Tunnels,738,5
4/18/2020,Subways,254453,0.08
4/18/2020,Buses,8115,0.01
4/18/2020,LIRR,2449,0.02
4/18/2020,MetroNorth,3965,0.03
4/18/2020,AccessARide,4202,0.25
4/18/2020,StatenIsland,254734,28
4/18/2020,Bridges_Tunnels,339,7
4/19/2020,Subways,224411,0.09
4/19/2020,Buses,6929,0.01
4/19/2020,LIRR,2159,0.02
4/19/2020,MetroNorth,3884,0.04
4/19/2020,AccessARide,2742,0.15
4/19/2020,StatenIsland,276406,32
4/19/2020,Bridges_Tunnels,340,10
4/20/2020,Subways,437852,0.08
4/20/2020,Buses,16522,0.01
4/20/2020,LIRR,8912,0.03
4/20/2020,MetroNorth,10063,0.04
4/20/2020,AccessARide,7050,0.24
4/20/2020,StatenIsland,371776,40
4/20/2020,Bridges_Tunnels,770,5
4/21/2020,Subways,422107,0.08
4/21/2020,Buses,15231,0.01
4/21/2020,LIRR,8264,0.03
4/21/2020,MetroNorth,9374,0.03
4/21/2020,AccessARide,6613,0.23
4/21/2020,StatenIsland,356098,38
4/21/2020,Bridges_Tunnels,753,5
4/22/2020,Subways,458781,0.08
4/22/2020,Buses,16487,0.01
4/22/2020,LIRR,8674,0.03
4/22/2020,MetroNorth,9694,0.03
4/22/2020,AccessARide,7496,0.26
4/22/2020,StatenIsland,398703,42
4/22/2020,Bridges_Tunnels,793,5
4/23/2020,Subways,453520,0.08
4/23/2020,Buses,15786,0.01
4/23/2020,LIRR,8425,0.03
4/23/2020,MetroNorth,9527,0.03
4/23/2020,AccessARide,6969,0.24
4/23/2020,StatenIsland,386937,41
4/23/2020,Bridges_Tunnels,780,5
4/24/2020,Subways,443956,0.08
4/24/2020,Buses,14237,0.01
4/24/2020,LIRR,7821,0.03
4/24/2020,MetroNorth,9722,0.03
4/24/2020,AccessARide,7040,0.24
4/24/2020,StatenIsland,386935,41
4/24/2020,Bridges_Tunnels,688,4
4/25/2020,Subways,295387,0.09
4/25/2020,Buses,8832,0.01
4/25/2020,LIRR,2869,0.03
4/25/2020,MetroNorth,4987,0.03
4/25/2020,AccessARide,4719,0.28
4/25/2020,StatenIsland,350299,38
4/25/2020,Bridges_Tunnels,449,9
4/26/2020,Subways,218787,0.09
4/26/2020,Buses,5498,0.01
4/26/2020,LIRR,1903,0.02
4/26/2020,MetroNorth,3495,0.03
4/26/2020,AccessARide,2506,0.13
4/26/2020,StatenIsland,231540,27
4/26/2020,Bridges_Tunnels,309,9
4/27/2020,Subways,462888,0.08
4/27/2020,Buses,15283,0.01
4/27/2020,LIRR,8828,0.03
4/27/2020,MetroNorth,10243,0.04
4/27/2020,AccessARide,6922,0.24
4/27/2020,StatenIsland,384123,41
4/27/2020,Bridges_Tunnels,812,5
4/28/2020,Subways,489247,0.09
4/28/2020,Buses,16380,0.01
4/28/2020,LIRR,9167,0.03
4/28/2020,MetroNorth,10531,0.04
4/28/2020,AccessARide,7542,0.26
4/28/2020,StatenIsland,436346,46
4/28/2020,Bridges_Tunnels,826,5
4/29/2020,Subways,477799,0.09
4/29/2020,Buses,15406,0.01
4/29/2020,LIRR,9100,0.03
4/29/2020,MetroNorth,10165,0.04
4/29/2020,AccessARide,7844,0.27
4/29/2020,StatenIsland,410502,44
4/29/2020,Bridges_Tunnels,790,5
4/30/2020,Subways,465869,0.08
4/30/2020,Buses,14062,0.01
4/30/2020,LIRR,9335,0.03
4/30/2020,MetroNorth,9971,0.03
4/30/2020,AccessARide,7253,0.25
4/30/2020,StatenIsland,405168,43
4/30/2020,Bridges_Tunnels,764,5
5/1/2020,Subways,494549,0.09
5/1/2020,Buses,14893,0.01
5/1/2020,LIRR,6200,0.02
5/1/2020,MetroNorth,9206,0.03
5/1/2020,AccessARide,8332,0.28
5/1/2020,StatenIsland,445621,46
5/1/2020,Bridges_Tunnels,763,4
5/2/2020,Subways,325865,0.1
5/2/2020,Buses,8912,0.01
5/2/2020,LIRR,3959,0.03
5/2/2020,MetroNorth,5908,0.04
5/2/2020,AccessARide,5493,0.32
5/2/2020,StatenIsland,401938,42
5/2/2020,Bridges_Tunnels,489,10
5/3/2020,Subways,258865,0.11
5/3/2020,Buses,6404,0.01
5/3/2020,LIRR,3314,0.03
5/3/2020,MetroNorth,4839,0.05
5/3/2020,AccessARide,3263,0.19
5/3/2020,StatenIsland,353314,41
5/3/2020,Bridges_Tunnels,334,9
5/4/2020,Subways,511866,0.09
5/4/2020,Buses,16315,0.01
5/4/2020,LIRR,11158,0.03
5/4/2020,MetroNorth,10764,0.04
5/4/2020,AccessARide,8287,0.28
5/4/2020,StatenIsland,447424,46
5/4/2020,Bridges_Tunnels,897,5
5/5/2020,Subways,522085,0.09
5/5/2020,Buses,16377,0.01
5/5/2020,LIRR,13265,0.04
5/5/2020,MetroNorth,10604,0.04
5/5/2020,AccessARide,8445,0.29
5/5/2020,StatenIsland,462085,48
5/5/2020,Bridges_Tunnels,894,5
5/6/2020,Subways,508824,0.09
5/6/2020,Buses,15677,0.01
5/6/2020,LIRR,14489,0.05
5/6/2020,MetroNorth,10107,0.04
5/6/2020,AccessARide,8832,0.3
5/6/2020,StatenIsland,444179,46
5/6/2020,Bridges_Tunnels,822,5
5/7/2020,Subways,535073,0.09
5/7/2020,Buses,16130,0.01
5/7/2020,LIRR,16139,0.05
5/7/2020,MetroNorth,11247,0.04
5/7/2020,AccessARide,8509,0.29
5/7/2020,StatenIsland,488836,51
5/7/2020,Bridges_Tunnels,930,5
5/8/2020,Subways,526054,0.09
5/8/2020,Buses,14571,0.01
5/8/2020,LIRR,15714,0.05
5/8/2020,MetroNorth,11242,0.04
5/8/2020,AccessARide,8656,0.29
5/8/2020,StatenIsland,483830,50
5/8/2020,Bridges_Tunnels,811,5
5/9/2020,Subways,316883,0.1
5/9/2020,Buses,7594,0.01
5/9/2020,LIRR,7651,0.06
5/9/2020,MetroNorth,6017,0.04
5/9/2020,AccessARide,5055,0.29
5/9/2020,StatenIsland,371426,39
5/9/2020,Bridges_Tunnels,489,10
5/10/2020,Subways,271947,0.11
5/10/2020,Buses,6367,0.01
5/10/2020,LIRR,7990,0.08
5/10/2020,MetroNorth,5878,0.06
5/10/2020,AccessARide,3962,0.23
5/10/2020,StatenIsland,415867,49
5/10/2020,Bridges_Tunnels,406,12
5/11/2020,Subways,520873,0.09
5/11/2020,Buses,15176,0.01
5/11/2020,LIRR,18349,0.06
5/11/2020,MetroNorth,11434,0.04
5/11/2020,AccessARide,7636,0.26
5/11/2020,StatenIsland,458041,48
5/11/2020,Bridges_Tunnels,829,5
5/12/2020,Subways,553372,0.1
5/12/2020,Buses,15989,0.01
5/12/2020,LIRR,19018,0.06
5/12/2020,MetroNorth,11488,0.04
5/12/2020,AccessARide,8271,0.28
5/12/2020,StatenIsland,488406,51
5/12/2020,Bridges_Tunnels,914,5
5/13/2020,Subways,565377,0.1
5/13/2020,Buses,16170,0.01
5/13/2020,LIRR,19356,0.06
5/13/2020,MetroNorth,11931,0.04
5/13/2020,AccessARide,9437,0.32
5/13/2020,StatenIsland,509243,53
5/13/2020,Bridges_Tunnels,956,5
5/14/2020,Subways,567392,0.1
5/14/2020,Buses,15905,0.01
5/14/2020,LIRR,19310,0.06
5/14/2020,MetroNorth,12131,0.04
5/14/2020,AccessARide,8855,0.3
5/14/2020,StatenIsland,520395,54
5/14/2020,Bridges_Tunnels,923,5
5/15/2020,Subways,587808,0.1
5/15/2020,Buses,15481,0.01
5/15/2020,LIRR,20092,0.06
5/15/2020,MetroNorth,12936,0.05
5/15/2020,AccessARide,9473,0.32
5/15/2020,StatenIsland,562990,58
5/15/2020,Bridges_Tunnels,976,6
5/16/2020,Subways,360844,0.11
5/16/2020,Buses,8742,0.01
5/16/2020,LIRR,11075,0.09
5/16/2020,MetroNorth,8100,0.05
5/16/2020,AccessARide,5947,0.34
5/16/2020,StatenIsland,477097,50
5/16/2020,Bridges_Tunnels,485,10
5/17/2020,Subways,287418,0.12
5/17/2020,Buses,6504,0.01
5/17/2020,LIRR,8793,0.09
5/17/2020,MetroNorth,6168,0.06
5/17/2020,AccessARide,3577,0.21
5/17/2020,StatenIsland,391606,46
5/17/2020,Bridges_Tunnels,337,10
5/18/2020,Subways,595469,0.1
5/18/2020,Buses,17206,0.01
5/18/2020,LIRR,22113,0.07
5/18/2020,MetroNorth,13141,0.05
5/18/2020,AccessARide,8969,0.31
5/18/2020,StatenIsland,505314,53
5/18/2020,Bridges_Tunnels,1036,6
5/19/2020,Subways,610884,0.11
5/19/2020,Buses,17296,0.01
5/19/2020,LIRR,21599,0.07
5/19/2020,MetroNorth,12777,0.04
5/19/2020,AccessARide,9290,0.32
5/19/2020,StatenIsland,524482,54
5/19/2020,Bridges_Tunnels,1067,6
5/20/2020,Subways,623749,0.11
5/20/2020,Buses,17674,0.01
5/20/2020,LIRR,22224,0.07
5/20/2020,MetroNorth,12753,0.04
5/20/2020,AccessARide,10224,0.35
5/20/2020,StatenIsland,542409,56
5/20/2020,Bridges_Tunnels,1044,6
5/21/2020,Subways,629298,0.11
5/21/2020,Buses,17565,0.01
5/21/2020,LIRR,22585,0.07
5/21/2020,MetroNorth,13294,0.05
5/21/2020,AccessARide,9731,0.33
5/21/2020,StatenIsland,585552,61
5/21/2020,Bridges_Tunnels,1069,6
5/22/2020,Subways,633883,0.11
5/22/2020,Buses,16453,0.01
5/22/2020,LIRR,22830,0.07
5/22/2020,MetroNorth,14711,0.05
5/22/2020,AccessARide,9782,0.33
5/22/2020,StatenIsland,626983,65
5/22/2020,Bridges_Tunnels,1046,6
5/23/2020,Subways,335830,0.1
5/23/2020,Buses,7186,0.01
5/23/2020,LIRR,10983,0.09
5/23/2020,MetroNorth,7613,0.05
5/23/2020,AccessARide,5550,0.32
5/23/2020,StatenIsland,394091,41
5/23/2020,Bridges_Tunnels,420,9
5/24/2020,Subways,320015,0.13
5/24/2020,Buses,6642,0.01
5/24/2020,LIRR,11871,0.12
5/24/2020,MetroNorth,8977,0.09
5/24/2020,AccessARide,4117,0.24
5/24/2020,StatenIsland,461170,54
5/24/2020,Bridges_Tunnels,361,10
5/25/2020,Subways,393918,0.16
5/25/2020,Buses,7996,0.01
5/25/2020,LIRR,19321,0.2
5/25/2020,MetroNorth,12982,0.12
5/25/2020,AccessARide,5428,0.32
5/25/2020,StatenIsland,445015,52
5/25/2020,Bridges_Tunnels,441,13
5/26/2020,Subways,656766,0.11
5/26/2020,Buses,17819,0.01
5/26/2020,LIRR,26691,0.08
5/26/2020,MetroNorth,14937,0.05
5/26/2020,AccessARide,9875,0.34
5/26/2020,StatenIsland,587269,61
5/26/2020,Bridges_Tunnels,1173,7
5/27/2020,Subways,674465,0.12
5/27/2020,Buses,17911,0.01
5/27/2020,LIRR,26483,0.08
5/27/2020,MetroNorth,14432,0.05
5/27/2020,AccessARide,11088,0.38
5/27/2020,StatenIsland,601140,62
5/27/2020,Bridges_Tunnels,1240,7
5/28/2020,Subways,658057,0.12
5/28/2020,Buses,17535,0.01
5/28/2020,LIRR,25175,0.08
5/28/2020,MetroNorth,14161,0.05
5/28/2020,AccessARide,10030,0.34
5/28/2020,StatenIsland,584628,61
5/28/2020,Bridges_Tunnels,1191,7
5/29/2020,Subways,657259,0.11
5/29/2020,Buses,16378,0.01
5/29/2020,LIRR,25070,0.08
5/29/2020,MetroNorth,15697,0.05
5/29/2020,AccessARide,10185,0.35
5/29/2020,StatenIsland,598607,62
5/29/2020,Bridges_Tunnels,1094,6
5/30/2020,Subways,426737,0.13
5/30/2020,Buses,9112,0.01
5/30/2020,LIRR,15557,0.13
5/30/2020,MetroNorth,11003,0.07
5/30/2020,AccessARide,6143,0.35
5/30/2020,StatenIsland,537179,56
5/30/2020,Bridges_Tunnels,18,0
5/31/2020,Subways,344426,0.14
5/31/2020,Buses,6724,0.01
5/31/2020,LIRR,13554,0.14
5/31/2020,MetroNorth,9390,0.09
5/31/2020,AccessARide,4216,0.25
5/31/2020,StatenIsland,495487,58
5/31/2020,Bridges_Tunnels,2,0
6/1/2020,Subways,687162,0.12
6/1/2020,Buses,17833,0.01
6/1/2020,LIRR,34339,0.1
6/1/2020,MetroNorth,16184,0.05
6/1/2020,AccessARide,10760,0.37
6/1/2020,StatenIsland,595059,61
6/1/2020,Bridges_Tunnels,1358,8
6/2/2020,Subways,693760,0.12
6/2/2020,Buses,16576,0.01
6/2/2020,LIRR,33769,0.1
6/2/2020,MetroNorth,16294,0.06
6/2/2020,AccessARide,11206,0.38
6/2/2020,StatenIsland,579411,59
6/2/2020,Bridges_Tunnels,1516,9
6/3/2020,Subways,681714,0.12
6/3/2020,Buses,17830,0.01
6/3/2020,LIRR,32523,0.1
6/3/2020,MetroNorth,15649,0.05
6/3/2020,AccessARide,11962,0.41
6/3/2020,StatenIsland,582624,59
6/3/2020,Bridges_Tunnels,1323,8
6/4/2020,Subways,726672,0.13
6/4/2020,Buses,18538,0.01
6/4/2020,LIRR,29771,0.09
6/4/2020,MetroNorth,17149,0.06
6/4/2020,AccessARide,12000,0.41
6/4/2020,StatenIsland,650868,66
6/4/2020,Bridges_Tunnels,1346,8
6/5/2020,Subways,703576,0.13
6/5/2020,Buses,16863,0.01
6/5/2020,LIRR,33482,0.1
6/5/2020,MetroNorth,18065,0.06
6/5/2020,AccessARide,11698,0.4
6/5/2020,StatenIsland,643562,65
6/5/2020,Bridges_Tunnels,1249,8
6/6/2020,Subways,464198,0.14
6/6/2020,Buses,8912,0.01
6/6/2020,LIRR,18090,0.15
6/6/2020,MetroNorth,12179,0.08
6/6/2020,AccessARide,6591,0.38
6/6/2020,StatenIsland,551793,56
6/6/2020,Bridges_Tunnels,9,0
6/7/2020,Subways,377990,0.14
6/7/2020,Buses,7579,0.01
6/7/2020,LIRR,16797,0.17
6/7/2020,MetroNorth,11231,0.1
6/7/2020,AccessARide,4650,0.26
6/7/2020,StatenIsland,538418,58
6/7/2020,Bridges_Tunnels,95,2
6/8/2020,Subways,804542,0.14
6/8/2020,Buses,25663,0.01
6/8/2020,LIRR,42630,0.13
6/8/2020,MetroNorth,20140,0.07
6/8/2020,AccessARide,11957,0.41
6/8/2020,StatenIsland,644829,66
6/8/2020,Bridges_Tunnels,1596,10
6/9/2020,Subways,842306,0.15
6/9/2020,Buses,26247,0.01
6/9/2020,LIRR,42274,0.13
6/9/2020,MetroNorth,19543,0.07
6/9/2020,AccessARide,12869,0.44
6/9/2020,StatenIsland,680462,69
6/9/2020,Bridges_Tunnels,1662,10
6/10/2020,Subways,857015,0.15
6/10/2020,Buses,26735,0.01
